,Fp1,AF3,F7,F3,FC1,FC5,T7,C3,CP1,CP5,P7,P3,Pz,PO3,O1,Oz,O2,PO4,P4,P8,CP6,CP2,C4,T8,FC6,FC2,F4,F8,AF4,Fp2,Fz,Cz
Fp1,1.0,0.6674111903141418,0.5394760044737337,0.6588462496474278,0.7125277122862022,0.6187617186424081,0.27099848809757454,0.5567230030648312,0.35269482639230426,0.3291636073867746,0.11790289741606458,0.21001864661721822,0.1652154584935733,0.12370284544128582,0.2005622839369967,0.18588368468872948,0.270688891634343,0.21803277968245333,0.2826034567918665,0.34224004128002317,0.4022122805578528,0.3278291257279127,0.46735999002723794,0.4628538404409572,0.5630759807125474,0.6275930266017846,0.6805759087252797,0.5670259758917833,0.6828427719791442,0.6391052669367993,0.7026529890480104,0.5299259829753482
AF3,0.6674111903141418,1.0,0.6537471900672387,0.8157628092376378,0.8084771507033598,0.6998958253697417,0.26361304582680123,0.5297422621282062,0.14837544197463,0.23785867004678157,-0.014229335059974488,0.009911002782316233,-0.08199517068718272,-0.08880316730548281,0.04416710868261615,0.001125147795557172,0.11498379144026971,-0.0026751884949507932,0.05533964281670899,0.17614711840816796,0.20289335480316364,0.08902621053256085,0.27122664358974613,0.3187670745778281,0.4284930935024938,0.5408552141558138,0.6680817021058475,0.5215360879580477,0.7726940331688446,0.744222532471939,0.7796825096373409,0.3741983655282789
F7,0.5394760044737337,0.6537471900672387,1.0,0.6706288336696395,0.6614549235684176,0.6044407561607573,0.27373150540967656,0.4685799216888269,0.13585763999940825,0.24107473804824717,0.03311203243833857,0.03383630371813631,-0.051747852762440316,-0.0473448293311487,0.06768227565357367,0.031477247726379075,0.11978284878299728,0.01712923214668008,0.058550482204010934,0.16189016114900692,0.16945183000902322,0.0773031923539232,0.22689153503793116,0.2543366584502727,0.3399160162473244,0.44156089698629275,0.5309902389802655,0.39810954891741485,0.6150006873105445,0.5906851858910745,0.6299518703578397,0.31471139830583994
F3,0.6588462496474278,0.8157628092376378,0.6706288336696395,1.0,0.8175195879497045,0.7006480861731968,0.22980642573711738,0.4910201015696533,0.06669025380308452,0.17149367426082673,-0.09652558042140097,-0.08027500542950292,-0.1755213059947334,-0.18530715299943631,-0.04210332570375683,-0.08111582459003817,0.04090395002940049,-0.09015451360872193,-0.027121561169962817,0.10520441615807355,0.13268764571544972,0.006026649835056355,0.20759108303359125,0.2857288464359291,0.39451942004210433,0.5105250917448887,0.6678300226341242,0.5229859440632055,0.7875504195954803,0.7573721100488333,0.7871570466455078,0.3162954060565541
FC1,0.7125277122862022,0.8084771507033598,0.6614549235684176,0.8175195879497045,1.0,0.7305609643908008,0.3056769828118356,0.6024413101224928,0.25964206795728123,0.31280148273571695,0.060708972595099206,0.11132218651338935,0.031403388384568236,0.009054754595713544,0.1295446748680114,0.09409967302158599,0.20489196059673384,0.10663775967526304,0.17227878959049464,0.2750520954613066,0.31799694648201643,0.21301053357133337,0.3897180088720817,0.42103323150293437,0.5252197581644779,0.6278188695098493,0.7366397936775059,0.5838514572927311,0.7965258772804396,0.7645308423603399,0.8107754592728943,0.48336029403018993
FC5,0.6187617186424081,0.6998958253697417,0.6044407561607573,0.7006480861731968,0.7305609643908008,1.0,0.4007573281888753,0.6191119552282185,0.3222675549944284,0.4163011745907074,0.19246663933253397,0.21442363721674476,0.11978467229040664,0.1253180150982378,0.24261693514728785,0.19795136131523022,0.2879559928015664,0.18859910818283665,0.22882404381242857,0.32843854541729905,0.3338360906037748,0.25005056350988114,0.3904629088067432,0.3651539203448932,0.45695030732388503,0.5761642525509006,0.6057619717332392,0.4458370876603397,0.6632796891755512,0.6287533075521337,0.6954429402290336,0.4793001373163491
T7,0.27099848809757454,0.26361304582680123,0.27373150540967656,0.22980642573711738,0.3056769828118356,0.4007573281888753,1.0,0.5121887975349866,0.4444565520005384,0.5433079361457616,0.479939510488145,0.4587139604707704,0.3823620430575174,0.42943857860763374,0.4838185428289962,0.44170559537241505,0.457491251185145,0.4087931795776421,0.3931652300743453,0.4169789136038348,0.3736765734863707,0.3706673837422815,0.3692795415178711,0.2306953573703431,0.24659619031696572,0.3374018031518036,0.2105948324724274,0.0814079929332835,0.20391484178092653,0.1990044195675492,0.25767156303512107,0.4081666990244976
C3,0.5567230030648312,0.5297422621282062,0.4685799216888269,0.4910201015696533,0.6024413101224928,0.6191119552282185,0.5121887975349866,1.0,0.6041890561490303,0.6386542120006591,0.4886841508663753,0.5404368395820055,0.4703498264639109,0.47630071489482456,0.5437138407541456,0.5046536115804962,0.5553376731662668,0.508448828556283,0.5265058508432672,0.5618344027039738,0.5738118456157929,0.5431023720436486,0.5996830900051171,0.4638128957346752,0.5334895078517053,0.6278583452988897,0.5318224092907436,0.37543042402633936,0.5024620279959493,0.47643689107419307,0.5593781296006874,0.6572825221718488
CP1,0.35269482639230426,0.14837544197463,0.13585763999940825,0.06669025380308452,0.25964206795728123,0.3222675549944284,0.4444565520005384,0.6041890561490303,1.0,0.6909910818706527,0.6635663596463691,0.797341389174092,0.8075767575416255,0.7779509081749937,0.7369829997726393,0.7419445427130478,0.7260171542875357,0.7915525659122779,0.803250865148888,0.7349348217506512,0.7694483168101001,0.8212985682761348,0.7713130441259684,0.5555144279786581,0.5829047219865005,0.5928874153455614,0.3664742419754689,0.2926028272508126,0.18153706281516505,0.140029450252203,0.25447503752364703,0.7478565883384857
CP5,0.3291636073867746,0.23785867004678157,0.24107473804824717,0.17149367426082673,0.31280148273571695,0.4163011745907074,0.5433079361457616,0.6386542120006591,0.6909910818706527,1.0,0.666472926356987,0.7000670034653507,0.6437787359011063,0.6736390274609781,0.696372487219369,0.6622733595359276,0.6620327307410627,0.6554226119782988,0.638779176310402,0.6283182460900286,0.6056128951186155,0.6278934447212211,0.5960318865609291,0.3870486788051264,0.41055449153476475,0.4815061193816333,0.2798563202926201,0.1539727424544781,0.20323120006557757,0.18662482979770795,0.27281128574164587,0.6119691195763876
